topic_problem_number,topic,title,difficulty,leetcode_url,gfg_url,solved
10,"Graphs","Is Graph Bipartite?","Medium","https://leetcode.com/problems/is-graph-bipartite/","https://www.geeksforgeeks.org/problems/bipartite-graph/1",false
11,"Graphs","Network Delay Time","Medium","https://leetcode.com/problems/network-delay-time/","https://www.geeksforgeeks.org/dsa/network-delay-time/",false
1,"Union Find / DSU","Number of Provinces","Medium","https://leetcode.com/problems/number-of-provinces/","https://www.geeksforgeeks.org/problems/number-of-provinces/1",false
2,"Union Find / DSU","Number of Connected Components in an Undirected Graph","Medium","https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/","https://www.geeksforgeeks.org/dsa/connected-components-in-an-undirected-graph/",false
3,"Union Find / DSU","Redundant Connection","Medium","https://leetcode.com/problems/redundant-connection/","https://www.geeksforgeeks.org/problems/union-find/1",false
4,"Union Find / DSU","Accounts Merge","Medium","https://leetcode.com/problems/accounts-merge/","https://www.geeksforgeeks.org/dsa/accounts-merge/",false
5,"Union Find / DSU","Most Stones Removed with Same Row or Column","Medium","https://leetcode.com/problems/most-stones-removed-with-same-row-or-column/","https://www.geeksforgeeks.org/problems/most-stones-removed-with-same-row-or-column/1",false
6,"Union Find / DSU","Satisfiability of Equality Equations","Medium","https://leetcode.com/problems/satisfiability-of-equality-equations/","https://www.geeksforgeeks.org/dsa/satisfiability-of-equality-equations/",false
7,"Union Find / DSU","Kruskal's Algorithm","Medium","https://leetcode.com/problems/min-cost-to-connect-all-points/","https://www.geeksforgeeks.org/problems/minimum-spanning-tree/1",false
1,"Trie","Implement Trie (Prefix Tree)","Medium","https://leetcode.com/problems/implement-trie-prefix-tree/","https://www.geeksforgeeks.org/problems/trie-insert-and-search0653/1",false
2,"Trie","Design Add and Search Words Data Structure","Medium","https://leetcode.com/problems/design-add-and-search-words-data-structure/","https://www.geeksforgeeks.org/problems/design-add-and-search-words-data-structure/1",false
3,"Trie","Word Search II","Hard","https://leetcode.com/problems/word-search-ii/","https://www.geeksforgeeks.org/problems/word-boggle4143/1",false
4,"Trie","Replace Words","Medium","https://leetcode.com/problems/replace-words/","https://www.geeksforgeeks.org/dsa/replace-words/",false
5,"Trie","Maximum XOR of Two Numbers in an Array","Medium","https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/","https://www.geeksforgeeks.org/problems/maximum-xor-of-two-numbers-in-an-array/1",false
6,"Trie","Longest Word in Dictionary","Medium","https://leetcode.com/problems/longest-word-in-dictionary/","https://www.geeksforgeeks.org/problems/longest-word-with-all-prefixes/1",false
